ST	porB	tbpB
2141	1340	468
2142	997	522
2143	1341	479
2144	1342	27
2145	1343	4
2146	1344	523
2147	1345	156
2148	90	114
2149	1283	156
2150	103	524
2151	1346	4
2152	1347	29
2153	1348	4
2154	61	525
2155	1349	98
2156	1350	155
2157	1350	156
2158	1351	137
2159	375	24
2160	206	526
2161	1352	4
2162	375	156
2163	1353	186
2164	1354	110
2165	1355	156
2166	1226	186
2167	1356	110
2168	1357	110
2169	1358	75
2170	1359	186
2171	1360	10
2172	1361	527
2173	1362	278
2174	1363	156
2175	1364	10
2176	700	156
2177	1365	523
2178	250	75
2179	1366	75
2180	1367	10
2181	1368	386
2182	1369	4
2183	1370	75
2184	1371	523
2185	4	528
2186	505	135
2187	123	29
2188	209	21
2189	1372	29
2190	1373	29
2191	1374	4
2192	147	529
2193	1375	29
2194	1132	530
2195	1376	35
2196	39	531
2197	1377	334
2198	1378	4
2199	1379	33
2200	1380	98
2201	1381	6
2202	1382	4
2203	1383	474
2204	1384	5
2205	1385	475
2206	1386	5
2207	1387	4
2208	35	35
2209	832	5
2210	1389	33
2211	1390	32
2212	1388	110
2213	1391	4
2214	1392	4
2215	3	124
2216	214	528
2217	970	532
2218	851	58
2219	1393	334
2220	18	533
2221	1283	272
2222	1366	156
2223	1397	4
2224	1398	4
2225	1400	63
2226	242	21
2227	1399	534
2228	1401	29
2229	289	535
2230	1403	60
2231	1404	16
2232	1405	536
2233	723	334
2234	39	537
2235	1406	35
2236	1014	29
2237	1075	5
2238	957	27
2239	147	122
2240	1065	16
2241	1066	16
2242	1067	16
2243	1064	428
2244	1077	16
2245	1073	24
2246	1074	16
2247	1407	16
2248	1408	33
2249	488	32
2250	653	137
2251	1409	10
2252	1410	33
2253	1411	10
2254	1412	4
2255	1413	111
2256	1414	505
2257	1415	10
2258	1394	156
2259	1395	137
2260	1396	137
2261	1396	75
2262	18	29
2263	1416	4
2264	164	135
2265	1417	4
2266	543	538
2267	84	32
2268	206	470
2269	1226	75
2270	1418	428
2271	1132	156
2272	402	4
2273	1419	189
2274	1420	4
2275	1421	156
2276	90	539
2277	505	33
2278	1123	499
2279	1042	186
2280	1422	137
2281	206	328
2282	1423	540
2283	1424	215
2284	1425	33
2285	700	110
2286	1132	75
2287	1426	33
2288	206	186
2289	1304	4
2290	4	541
2291	1427	542
2292	1428	33
2293	1429	137
2294	1430	328
2295	1431	479
2296	1432	186
2297	1123	33
2298	242	543
2299	1433	4
2300	1434	4
2301	90	544
2302	130	137
2303	1435	545
2304	4	546
2305	1436	21
2306	1437	547
2307	256	186
2308	1132	141
2309	282	197
2310	315	548
2311	1438	549
2312	1439	156
2313	90	493
2314	1440	550
2315	1441	156
2316	516	551
2317	96	552
2318	1053	4
2319	1442	10
2320	1443	29
2321	1444	156
2322	1445	137
2323	1446	468
2324	1447	33
2325	1448	186
2326	240	186
2327	1449	186
2328	1450	472
2329	328	110
2331	1451	4
2332	1452	553
2333	1453	4
2334	396	554
2335	1454	468
2336	1455	186
2337	1203	428
2338	566	75
2339	1366	10
2340	1226	502
2341	952	33
2342	1456	186
2343	147	555
2344	1132	556
2345	130	110
2346	1457	25
2347	1458	186
2348	1459	10
2349	1460	470
2350	1461	75
2351	1462	156
2352	1463	75
2353	1464	156
2354	517	5
2355	242	110
2356	130	10
2357	1132	27
2358	581	487
2359	1466	33
2360	240	111
2361	87	156
2362	1053	557
2363	1467	137
2365	760	377
2366	217	33
2367	1469	472
2370	1472	16
2371	242	558
2372	90	559
2373	581	111
2374	1473	10
2375	543	560
2376	1474	561
2377	1475	110
2378	1476	367
2379	1478	4
2380	1477	4
2381	1479	4
2382	1480	4
2383	582	110
2384	1208	33
2385	1481	355
2386	1482	29
2387	1483	33
2388	1205	33
2389	260	186
2390	1484	29
2391	1485	111
2392	206	10
2393	256	328
2394	581	562
2395	1486	137
2396	1487	321
2397	1488	5
2398	1291	495
2399	1335	33
2400	1489	563
2401	1490	156
2402	1491	26
2403	90	564
2404	206	215
2405	4	565
2406	1492	156
2407	256	566
2408	206	141
2409	1314	489
2410	1358	156
2411	1493	29
2412	1494	547
2413	1495	156
2414	1496	156
2415	164	186
2416	256	21
2417	1497	156
2418	1498	24
2419	1499	33
2420	1222	186
2421	1500	567
2422	1132	186
2423	1501	4
2424	130	568
2425	1447	186
2426	1502	137
2427	1503	33
2428	1504	4
2429	1505	4
2430	182	569
2431	582	33
2432	1506	570
2433	90	32
2434	1507	186
2435	1508	186
2436	1509	526
2437	1510	355
2438	1273	571
2439	1511	156
2440	1512	367
2441	822	33
2442	1366	444
2443	130	107
2444	1513	156
2445	700	572
2446	1514	33
2447	90	573
2448	90	307
2449	1515	29
2450	39	574
2451	266	242
2452	1516	25
2453	1518	10
2454	1519	186
2455	1517	575
2456	1123	576
2457	1132	577
2458	4	576
2459	1520	367
2460	1520	578
2461	1198	156
2462	1483	107
2463	1521	186
2464	1522	328
2465	90	579
2466	1053	580
2467	1523	4
2468	1524	156
2469	1525	10
2470	1526	470
2471	1203	4
2472	1111	4
2473	90	71
2475	1527	29
2476	720	121
2477	1362	186
2478	1528	582
2479	1529	186
2480	1530	33
2481	850	583
2482	1531	27
2483	1532	91
2484	1533	27
2485	90	98
2486	1461	156
2487	1534	241
2488	1535	26
2489	1536	29
2490	1537	33
2491	1538	33
2492	1539	584
2493	4	29
2494	1540	3
2495	1541	23
2496	1542	27
2497	1543	6
2498	1544	3
2499	59	19
2500	522	585
2501	1543	3
2502	1545	25
2503	1542	587
2504	1546	584
2505	1547	3
2506	1548	584
2507	1549	588
2508	1550	6
2509	1551	29
2510	1552	19
2511	1553	27
2512	556	584
2513	466	589
2514	1554	281
2515	1555	261
2516	1542	590
2517	1556	6
2518	1557	584
2519	1558	27
2520	1559	3
2521	787	29
2522	1229	19
2523	1561	23
2524	1562	24
2525	1560	585
2526	1563	267
2527	1564	19
2528	1547	23
2529	1547	584
2530	956	3
2531	787	27
2532	1555	6
2533	101	3
2534	1560	23
2535	1543	135
2536	256	254
2537	522	591
2538	1566	19
2539	1543	590
2540	217	137
2541	1567	586
2542	252	29
2543	1568	585
2544	1569	592
2545	1570	25
2546	1571	6
2547	55	593
2548	1539	3
2549	101	584
2550	1572	584
2551	1573	594
2552	1574	204
2553	1575	4
2554	90	595
2555	1576	137
2556	206	596
2557	315	156
2558	1577	137
2559	1578	107
2560	1579	597
2561	1580	367
2562	1574	10
2563	1581	272
2564	1582	502
2565	4	598
2566	1584	4
2567	182	10
2568	1585	600
2569	4	110
2570	609	10
2571	1586	598
2572	833	10
2573	4	601
2574	1587	4
2575	90	602
2576	1588	33
2577	1583	603
2578	1589	10
2579	1591	605
2580	1592	4
2581	1593	156
2582	1132	606
2583	1594	137
2584	1595	455
2586	566	137
2587	1596	10
2588	1590	604
2589	1597	386
2590	1528	110
2591	1598	75
2592	232	25
2593	609	74
2594	947	165
2595	947	33
2596	1613	18
2597	19	29
2598	1606	4
2599	1164	60
2600	1615	35
2601	1616	33
2602	1617	91
2603	1618	35
2604	1619	33
2605	1620	35
2606	1621	32
2607	1622	35
2608	1623	29
2609	1625	32
2610	1626	189
2611	1627	33
2612	1628	4
2613	1629	29
2614	158	399
2615	1612	74
2616	1602	4
2617	1253	27
2618	1603	4
2619	234	35
2620	19	33
2621	1607	21
2622	1599	4
2623	1600	333
2624	1604	321
2625	281	4
2626	1608	33
2627	1609	4
2628	1610	4
2629	1611	4
2630	1143	608
2631	1630	4
2632	1631	27
2633	1634	25
2634	1635	25
2635	1637	33
2636	1644	174
2637	23	607
2638	1647	609
2639	266	609
2640	1649	4
2641	1651	610
2642	1652	611
2643	1653	165
2644	1654	4
2645	123	612
2646	596	613
2647	1655	4
2648	361	614
2649	361	29
2650	251	615
2651	123	616
2652	121	165
2653	1657	150
2654	406	360
2655	1658	4
2656	35	617
2657	1660	268
2658	1661	61
2659	1662	616
2660	121	61
2661	220	4
2662	406	61
2663	1663	618
2664	1664	4
2665	1662	4
2666	1665	4
2667	1666	614
2668	1667	4
2669	1669	4
2670	123	4
2671	59	32
2672	165	35
2673	106	27
2674	1624	29
2675	1673	4
2676	1671	26
2677	1672	399
2678	1674	118
2679	1670	350
2680	49	115
2681	1675	29
2682	1676	4
2683	406	4
2684	301	620
2685	266	621
2686	1677	96
2687	1678	4
2688	1656	622
2689	1659	4
2690	1668	623
2691	1650	4
2692	1442	32
2693	478	323
2694	4	25
2696	91	25
2697	91	384
2698	1442	143
2699	806	533
2700	232	358
2701	232	533
2703	19	634
2704	1614	33
2705	1614	321
2706	232	633
2707	1605	632
2708	91	510
2710	232	83
2711	421	392
2712	423	29
2713	1442	393
2714	23	42
2715	49	29
2716	23	533
2717	37	33
2718	529	217
2719	61	392
2720	948	174
2721	685	174
2722	37	533
2723	293	392
2724	103	118
2726	90	217
2727	90	402
2728	232	624
2729	1641	635
2730	609	636
2731	1642	326
2732	1643	325
2733	738	637
2734	738	638
2735	232	631
2736	1645	627
2737	1646	628
2738	90	629
2739	1681	630
2740	1685	4
2741	1686	4
2742	1687	640
2743	1689	33
2744	243	295
2745	1688	4
2746	1690	135
2747	201	641
2749	685	639
2752	103	647
2753	103	648
2754	251	635
2755	738	143
2758	581	215
2759	876	21
2760	1466	21
2761	206	107
2762	315	186
2763	505	10
2764	217	156
2765	1495	21
2766	683	33
2767	822	186
2768	90	502
2769	337	75
2770	182	75
2771	505	186
2772	582	156
2773	242	75
2774	582	107
2775	953	4
2776	147	156
2777	1042	156
2778	90	328
2779	505	4
2780	1135	75
2781	1135	107
2782	1694	110
2783	1695	10
2784	1696	21
2785	1697	33
2786	1698	543
2787	1699	110
2788	1701	141
2789	1702	107
2790	1700	156
2791	1703	186
2792	1705	215
2793	1706	156
2794	1707	4
2795	1708	61
2796	1709	649
2797	35	612
2798	158	650
2799	1662	612
2800	90	651
2801	1710	27
2802	1711	27
2803	1712	652
2804	708	653
2807	489	656
2808	147	657
2809	4	658
2810	90	659
2811	1704	660
2812	90	661
2813	1713	186
2814	256	156
2815	1714	137
2816	1715	444
2817	1716	186
2818	1717	156
2819	1716	662
2820	1718	662
2821	1719	4
2822	1720	141
2823	147	663
2824	1721	21
2825	1722	110
2826	1723	33
2827	1724	504
2828	1725	156
2829	1726	110
2830	1727	33
2831	1135	664
2832	1728	186
2833	90	665
2834	1729	110
2835	182	662
2836	256	666
2837	1730	75
2838	1739	667
2839	1731	668
2840	1732	186
2841	1733	156
2842	1734	186
2843	1735	328
2844	1736	10
2845	1737	156
2846	1738	156
2847	1717	667
2848	1742	10
2849	1743	110
2850	1744	21
2851	1456	10
2852	1745	10
2853	1741	10
2854	1746	10
2855	1747	4
2856	1748	334
2857	90	189
2858	1645	25
2859	1421	6
2860	1244	187
2861	708	4
2862	37	4
2863	91	604
2864	160	32
2865	116	25
2866	49	25
2867	785	330
2868	361	27
2869	1645	174
2870	116	4
2871	232	174
2872	121	29
2873	61	118
2874	1118	4
2875	1417	187
2876	232	189
2877	1749	187
2878	1760	4
2879	1772	4
2880	1773	4
2881	1751	4
2882	1767	224
2883	1770	4
2884	1752	25
2885	1753	29
2886	1754	189
2887	1755	32
2888	1762	395
2889	1771	392
2890	1756	32
2891	1557	118
2892	1758	32
2893	1763	118
2894	1764	189
2895	1766	402
2896	1759	399
2897	1750	671
2898	1768	672
2899	1769	672
2900	37	673
2901	90	674
2902	37	675
2903	1765	676
2904	1774	677
2905	1640	291
2906	1775	4
2907	1483	110
2908	1776	10
2909	206	135
2910	1777	367
2911	130	118
2912	232	32
2913	1693	533
2914	98	533
2915	1662	29
2916	1253	4
2917	13	22
2918	2	11
2919	2	8
2920	68	8
2921	711	8
2923	32	89
2924	85	42
2925	72	91
2926	25	95
2927	92	86
2928	67	19
2929	71	66
2930	34	51
2931	1253	636
2932	103	492
2933	15	3
2934	99	3
2935	95	3
2938	15	78
2939	17	45
2940	35	60
2941	91	324
2942	1757	118
2943	1226	33
2945	1115	33
2946	833	384
2947	1204	75
2948	4	8
2949	407	107
2950	1779	156
2951	217	679
2952	1780	107
2953	217	107
2954	580	33
2955	908	10
2956	1783	10
2957	1784	110
2958	1785	110
2959	1786	21
2960	1787	110
2961	1788	110
2962	1789	680
2963	1790	29
2964	1740	10
2965	1781	10
2966	1782	10
2967	1791	10
2968	1792	186
2969	39	241
2970	1793	110
2971	103	681
2972	1794	610
2973	1795	682
2974	1796	360
2975	123	268
2976	1797	3
2977	1798	21
2978	1799	190
2979	1800	613
2980	406	18
2981	1801	6
2982	1802	18
2984	1803	616
2985	1804	60
2986	1805	268
2989	1806	33
2990	184	684
2991	1807	27
2992	1808	29
2993	1809	29
2994	1810	29
2995	1811	4
2996	1812	137
2997	866	21
2998	251	91
2999	1813	29
3000	702	33
3001	1792	330
3002	1814	4
3003	1815	27
3004	1816	26
3005	158	15
3006	227	4
3007	251	685
3008	1817	268
3009	1819	454
3010	1820	137
3011	1821	16
3012	1822	49
3013	1823	268
3014	1818	4
3015	46	686
3016	1662	687
3017	1824	60
3018	1825	688
3019	1826	689
3020	1827	690
3021	361	691
3022	1798	268
3023	1828	692
3024	1688	21
3025	1835	74
3026	1836	21
3027	90	694
3028	53	103
3029	822	114
3030	1838	21
3031	1829	83
3032	1830	21
3033	1831	21
3034	1832	21
3035	1833	111
3036	1834	693
3037	1718	21
3038	1837	21
3039	407	105
3040	1839	4
3041	1253	21
3042	1840	29
3043	1841	330
3044	467	135
3045	1842	29
3046	1843	29
3047	997	75
3048	1844	4
3049	1442	569
3050	1845	695
3051	1846	4
3052	1264	696
3054	335	698
3055	53	701
3056	1601	4
3057	1847	703
3058	1848	60
3059	1849	27
3060	1850	135
3061	1851	4
3062	1852	135
3063	1583	10
3064	1584	156
3065	90	530
3066	1411	704
3067	1855	4
3068	1856	110
3069	1857	10
3070	1858	10
3071	1859	98
3072	1859	10
3073	1860	10
3074	1861	75
3075	1862	156
3076	90	705
3077	1863	137
3078	1574	4
3079	90	484
3080	1864	10
3081	1865	4
3082	1866	10
3083	130	27
3084	1867	10
3085	1868	10
3086	1366	186
3087	1869	4
3088	1365	33
3089	1870	523
3090	1871	21
3091	1872	4
3092	1873	35
3093	760	35
3094	1874	706
3095	382	16
3096	1875	75
3097	1876	156
3098	1877	4
3099	997	186
3100	375	10
3101	256	501
3102	1879	33
3103	1880	75
3104	1881	282
3105	1502	186
3106	1882	33
3107	1883	4
3108	1884	4
3109	1893	137
3110	407	92
3111	1894	632
3112	1895	29
3113	854	27
3114	1896	21
3115	1885	4
3116	1884	25
3117	1884	115
3118	1886	25
3119	1887	4
3120	1888	4
3121	1889	4
3122	23	707
3123	214	4
3124	1897	4
3125	1898	4
3126	1899	25
3127	1901	110
3128	1900	110
3129	1901	4
3130	536	4
3131	356	4
3132	719	4
3133	87	75
3134	912	4
3135	875	5
3136	1101	33
3137	1175	33
3138	1188	4
3139	262	593
3140	1891	4
3141	1892	4
3142	1902	4
3143	1910	4
3144	184	709
3145	1911	4
3146	1904	4
3147	1905	4
3148	1906	4
3149	1903	110
3150	1907	4
3151	1908	4
3152	1909	29
3153	1890	4
3154	256	710
3155	1913	4
3156	1912	711
3157	1217	16
3158	1914	110
3159	1915	10
3160	1915	110
3161	1914	10
3162	485	197
3163	4	708
3164	1916	4
3165	1917	4
3166	1919	4
3167	1920	5
3168	1921	10
3169	260	4
3170	1775	33
3171	206	712
3172	1922	4
3173	35	713
3174	485	714
3175	18	2
3176	1923	60
3177	206	60
3178	1923	29
3179	1924	717
3180	1923	717
3181	1923	602
3182	206	719
3183	1925	227
3184	1926	32
3185	1925	60
3186	1926	723
3187	64	719
3188	123	60
3189	120	722
3190	158	21
3191	1927	724
3192	123	21
3193	1928	27
3194	1929	96
3195	443	4
3196	1930	530
3197	1367	33
3198	206	137
3199	952	215
3200	1932	75
3201	1322	110
3202	1935	32
3203	1936	4
3204	1931	98
3205	296	386
3206	1937	725
3207	251	726
3208	361	727
3209	922	29
3210	1662	18
3211	35	4
3212	406	613
3213	1938	350
3214	1939	60
3215	1940	254
3216	184	154
3217	90	676
3219	1950	63
3220	1951	294
3221	64	136
3222	266	395
3223	813	32
3225	158	616
3226	1922	616
3227	1954	118
3228	90	294
3229	1955	58
3230	596	719
3231	1956	461
3232	1958	29
3233	1959	27
3234	251	715
3235	543	730
3236	1960	16
3237	1922	719
3238	1953	729
3239	1952	4
3240	1574	110
3241	1970	10
3242	1971	33
3243	1972	156
3244	1973	530
3245	1975	10
3246	1976	137
3247	1977	32
3248	1978	137
3249	1980	33
3250	1132	10
3251	1981	10
3252	4	156
3253	121	728
3254	1979	156
3255	1986	35
3256	1968	4
3257	147	5
3258	1965	33
3259	1967	532
3260	1966	92
3261	123	6
3262	1964	4
3263	1963	267
3264	1962	4
3265	912	454
3266	106	33
3267	1982	131
3268	1380	734
3269	1983	4
3270	1984	108
3271	1985	703
3272	1987	27
3273	1988	29
3274	30	137
3275	421	464
3276	1969	4
3277	1982	137
3278	1989	27
3279	1990	493
3280	1991	271
3281	1992	546
3282	1042	737
3283	581	736
3284	1445	738
3285	1135	33
3286	581	144
3287	1042	110
3288	1449	29
3289	1053	186
3290	242	498
3291	1331	110
3292	1993	26
3293	997	95
3294	1994	110
3295	1995	10
3296	1996	137
3297	1997	4
3299	1961	66
3300	1998	739
3301	1173	740
3302	922	137
3303	2002	165
3304	2000	4
3305	2001	29
3306	2003	371
3307	30	743
3308	2004	742
3309	1918	4
3310	2009	744
3311	2008	29
3312	123	745
3313	2012	330
3314	2011	29
3315	2013	70
3316	2014	27
3317	1662	747
3318	123	746
3319	2015	27
3320	95	748
3321	596	27
3322	374	24
3323	2016	27
3324	174	26
3325	2010	750
3326	2018	21
3327	1135	751
3328	2019	121
3329	2020	4
3330	53	137
3331	2021	505
3332	130	752
3333	2022	156
3334	240	75
3335	90	753
3336	1053	754
3337	2023	755
3338	1132	667
3339	2024	156
3340	158	443
3341	2025	476
3342	1362	756
3343	2026	35
3344	1449	21
3345	2027	21
3346	1168	27
3347	1690	4
3348	1518	96
3349	1353	4
3350	997	294
3351	2028	4
3352	2029	757
3353	2030	115
3354	2031	4
3355	2036	33
3356	2035	526
3357	2034	4
3358	2033	186
3359	2032	33
3360	1466	186
3361	1457	234
3362	1204	33
3363	1198	33
3364	1135	758
3365	1132	759
3366	581	186
3367	581	526
3368	256	33
3369	2037	27
3370	90	732
3371	2038	29
3372	2039	110
3373	2040	26
3374	2041	26
3375	2042	321
3376	1923	732
3377	123	227
3378	2043	110
3379	101	33
3380	1903	10
3381	1921	110
3382	1362	75
3383	921	33
3384	2044	156
3385	1355	4
3386	375	135
3387	908	4
3388	2045	156
3389	90	597
3390	2046	16
3391	2047	29
3392	828	137
3393	2051	29
3394	997	21
3395	90	39
3396	123	337
3397	1396	91
3398	2054	360
3399	2056	4
3400	488	21
3401	1164	764
3402	2055	136
3403	609	103
3404	701	92
3405	4	18
3406	2065	21
3407	2064	4
3408	2063	4
3409	2067	21
3410	217	767
3411	2068	21
3412	2062	21
3413	2058	766
3414	2066	173
3415	209	110
3416	2057	60
3418	251	768
3419	2072	21
3420	543	769
3421	1611	770
3422	2073	110
3423	2074	27
3424	1135	206
3425	2060	21
3426	2059	110
3427	250	137
3428	2075	29
3429	2076	21
3430	2077	33
3431	2078	110
3432	1275	33
3433	2079	498
3434	2080	33
3435	1053	21
3436	2081	75
3437	2082	597
3438	2083	186
3439	1456	156
3440	2091	10
3441	2092	4
3442	1362	98
3443	2084	21
3444	2085	10
3445	2086	484
3446	2087	75
3447	2088	530
3448	2089	24
3449	1053	107
3450	2090	33
3451	147	107
3452	2093	10
3453	1032	495
3455	2094	156
3456	1445	10
3457	2096	98
3458	2097	10
3459	2098	10
3460	2053	107
3461	1445	33
3462	2099	75
3463	2100	21
3464	2101	448
3465	2102	27
3466	702	771
3467	1258	537
3468	500	772
3469	1756	749
3474	806	321
3475	2109	21
3476	260	215
3477	1319	186
3478	90	773
3479	2103	137
3480	4	774
3481	2107	21
3482	2108	75
3483	2106	33
3484	90	775
3485	760	33
3486	876	137
3487	2105	137
3488	2104	156
3489	686	4
3490	1053	776
3491	1754	25
3492	2110	206
3493	2111	26
3494	1349	356
3495	2112	4
3496	2113	294
3497	2114	777
3498	206	119
3499	2115	110
3500	723	4
3501	908	782
3502	2117	16
3503	90	783
3504	2118	10
3505	206	27
3506	28	16
3507	49	136
3508	2119	784
3509	160	785
3510	251	786
3511	184	787
3512	251	741
3513	2120	82
3514	242	234
3515	2121	470
3516	256	141
3517	2122	33
3518	2123	186
3519	2125	27
3520	30	110
3521	2124	156
3522	315	791
3523	2095	98
3524	2128	792
3525	2129	75
3526	2130	156
3527	2131	21
3528	2132	10
3529	697	110
3530	2133	75
3531	1132	794
3532	2116	335
3533	2134	16
3534	2126	137
3535	2127	137
3536	2127	156
3537	2135	33
3538	1053	156
3539	2136	330
3540	361	795
3541	2137	26
3542	2157	16
3543	2149	29
3544	2157	25
3545	2158	16
3546	2141	16
3547	2	796
3548	39	797
3549	420	272
3550	4	49
3551	2146	35
3552	18	799
3553	2140	110
3554	2139	16
3555	2153	16
3556	2155	16
3557	28	800
3558	2160	29
3559	2151	16
3560	2152	29
3565	2159	25
3567	39	74
3568	90	805
3569	2144	49
3570	1914	35
3571	2139	806
3572	1442	110
3573	2138	25
3574	2156	27
3575	2139	807
3576	2159	16
3577	2142	16
3578	2141	27
3579	2145	16
3580	2142	136
3581	2	808
3582	22	25
3583	39	57
3584	374	16
3585	374	27
3586	714	27
3587	908	24
3588	908	27
3589	1884	29
3590	1884	49
3591	1914	5
3592	2142	5
3593	2142	4
3594	2143	110
3595	2146	16
3596	2147	4
3597	2148	796
3598	2150	241
3599	2154	4
3600	2158	25
3601	2158	49
3602	2161	110
3603	2162	110
3604	2	798
3605	2	712
3606	2	49
3607	39	29
3608	935	809
3609	123	810
3610	2163	6
3611	785	60
3612	719	377
3613	90	16
3614	827	21
3615	28	25
3616	227	29
3617	899	491
3618	1284	4
3619	4	16
3620	164	33
3621	2164	294
3622	2165	455
3623	2166	4
3624	2167	16
3625	2168	813
3626	2169	29
3627	2170	4
3628	2171	811
3629	2173	24
3630	2171	33
3631	2174	21
3632	2175	39
3633	2176	812
3634	2172	33
3635	2177	25
3636	2178	24
3637	2179	29
3638	2180	10
3639	2182	10
3640	90	814
3641	2183	33
3642	2184	186
3643	2185	156
3644	2186	33
3645	246	135
3646	2069	29
3647	2116	337
3648	406	49
3649	161	817
3650	2191	137
3651	2192	21
3652	55	820
3653	2193	25
3654	2194	25
3655	2195	28
3656	356	821
3657	2193	27
3658	2196	28
3659	56	25
3660	2197	27
3661	2198	27
3662	2195	25
3663	59	822
3664	2199	4
3665	2193	16
3666	2200	25
3667	2201	27
3668	2202	25
3669	2203	4
3670	2205	5
3671	2206	3
3672	2207	823
3673	2208	25
3674	1142	4
3675	2209	25
3676	2037	824
3677	2210	27
3678	2211	3
3679	2212	95
3680	1409	825
3681	2213	826
3682	2214	530
3683	2215	98
3684	1854	156
3685	2216	119
3686	2217	328
3687	1445	110
3688	2218	827
3689	2219	10
3690	2220	75
3691	2221	33
3692	2222	110
3693	2223	33
3694	2224	156
3695	1275	828
3696	2225	156
3697	2226	137
3698	2227	4
3699	2070	780
3700	2183	829
3701	2230	156
3702	1053	110
3703	2231	60
3704	2232	110
3705	2233	24
3706	2234	121
3707	2235	10
3708	2236	110
3709	2237	110
3710	2238	186
3711	1442	6
3712	2239	25
3713	2240	171
3714	2242	25
3715	2241	33
3716	2243	27
3717	2244	16
3718	356	830
3719	2245	110
3720	209	533
3721	2253	4
3722	2254	4
3723	2255	4
3724	103	321
3725	165	96
3726	1144	136
3727	407	188
3728	621	4
3729	1487	4
3730	2246	4
3731	2251	4
3732	2247	4
3733	2252	4
3734	2248	96
3735	2249	4
3736	2256	29
3737	2257	10
3738	2258	82
3739	2259	186
3740	2260	75
3741	2261	186
3742	251	186
3743	2262	33
3744	164	74
3746	4	831
3747	868	32
3748	2264	29
3749	2263	33
3750	997	58
3751	908	294
3752	947	39
3753	208	3
3754	1853	197
3755	1350	29
3756	407	349
3757	161	529
3758	1923	18
3759	2265	122
3760	2266	21
3761	2267	555
3762	2268	110
3764	2270	282
3765	2271	681
3766	2272	25
3767	2273	4
3768	2274	4
3769	2275	602
3770	2276	703
3771	2277	61
3772	2278	4
3773	2279	4
3774	2280	295
3775	2281	137
3776	2282	92
3777	2283	738
3778	2284	4
3779	2147	110
3780	2285	4
3781	2286	58
3782	2287	108
3783	2288	4
3784	2289	96
3785	2290	137
3786	2291	4
3787	2292	110
3788	2293	4
3789	2294	137
3790	2295	118
